time_ms,value
2162,180
2262,180
2362,180
2462,180
2562,180
2662,179
2762,180
2862,180
2962,180
3062,180
3162,180
3262,180
3362,180
3462,180
3562,179
3662,180
3762,180
3862,180
3962,180
4062,180
4162,180
4262,179
4362,180
4462,179
4562,180
4662,180
4762,180
4862,180
4962,179
5062,180
5162,180
5262,180
5362,180
5462,180
5562,180
5662,180
5762,180
5862,180
5962,180
6062,180
6162,180
6262,180
6362,180
6462,180
6562,180
6662,179
6762,179
6862,180
6962,180
7062,180
7162,180
7262,179
7362,180
7462,180
7562,179
7662,180
7762,180
7862,180
7962,180
8062,180
8162,180
8262,179
8362,180
8462,179
8562,180
8662,180
8762,180
8862,179
8962,180
9062,179
9162,180
9262,179
9362,180
9462,180
9562,180
9662,180
9762,180
9862,180
9962,179
10062,180
10162,180
10262,180
10362,180
10462,179
10562,180
10662,179
10762,180
10862,180
10962,179
11062,180
11162,180
11262,179
11362,180
11462,180
11562,180
11662,180
11762,180
11862,180
11962,180
12062,180
12162,180
12262,180
12362,179
12462,180
12562,180
12662,180
12762,179
12862,179
12962,180
13062,179
13162,179
13262,180
13362,180
13462,180
13562,180
13662,180
13762,180
13862,179
13962,179
14062,180
14162,179
14262,180
14362,179
14462,180
14562,180
14662,179
14762,180
14862,180
14962,179
15062,180
15162,179
15262,180
15362,179
15462,179
15562,180
15662,179
15762,180
15862,180
15962,180
16062,180
16162,179
16262,179
16362,180
16462,180
16562,180
16662,180
16762,180
16862,180
16962,179
17062,179
17162,179
17262,180
17362,180
17462,180
17562,180
17662,181
17762,179
17862,180
17962,180
18062,180
18162,180
18262,180
18362,180
18462,180
18562,180
18662,181
18762,180
18862,180
18962,179
19062,180
19162,180
19262,179
19362,180
19462,180
19562,179
19662,180
19762,180
19862,180
19962,180
20062,180
20162,180
20262,180
20362,180
20462,180
20562,180
20662,180
20762,179
20862,179
20962,179
21062,179
21162,180
21262,180
21362,180
21462,180
21562,180
21662,179
21762,180
21862,179
21962,180
22062,180
22162,180
22262,180
22362,180
22462,180
22562,180
22662,179
22762,179
22862,180
22962,180
23062,180
23162,180
23262,180
23362,180
23462,180
23562,181
23662,180
23762,180
23862,179
23962,180
24062,180
24162,180
24262,180
24362,180
24462,180
24562,179
24662,180
24762,180
24862,180
24962,179
25062,180
25162,180
25262,180
25362,180
25462,180
25562,180
25662,180
25762,180
25862,179
25962,180
26062,179
26162,179
26262,179
26362,180
26462,180
26562,180
26662,180
26762,180
26862,180
26962,180
27062,180
27162,180
27262,180
27362,181
27462,180
27562,179
27662,180
27762,179
27862,180
27962,180
28062,180
28162,179
28262,179
28362,180
28462,179
28562,180
28662,180
28762,180
28862,180
28962,180
29062,180
29162,180
29262,180
29362,179
29462,180
29562,180
29662,179
29762,180
29862,180
29962,180
30062,180
30162,179
30262,180
30362,181
30462,180
30562,180
30662,180
30762,180
30862,180
30962,180
31062,180
31162,180
31262,180
31362,180
31462,180
31562,179
31662,180
31762,180
31862,179
31962,180
32062,180
32162,181
32262,180
32362,180
32462,180
32562,180
32662,180
32762,180
32862,179
32962,180
33062,179
33162,180
33262,179
33362,179
33462,180
33562,179
33662,180
33762,179
33862,179
33962,180
34062,180
34162,180
34262,180
34362,180
34462,180
34562,180
34662,180
34762,180
34862,179
34962,180
35062,180
35162,180
35262,181
35362,180
35462,180
35562,180
35662,179
35762,180
35862,180
35962,180
36062,180
36162,180
36262,180
36362,180
36462,180
36562,180
36662,180
36762,180
36862,179
36962,180
37062,181
37162,180
37262,180
37362,180
37462,180
37562,179
37662,180
37762,179
37862,180
37962,180
38062,180
38162,180
38262,179
38362,179
38462,180
38562,180
38662,180
38762,180
38862,180
38962,179
39062,179
39162,180
39262,180
39362,180
39462,180
39562,180
39662,180
39762,180
39862,180
39962,179
40062,180
40162,180
40262,179
40362,179
40462,180
40562,179
40662,180
40762,180
40862,180
40962,180
41062,180
41162,180
41262,180
41362,180
41462,180
41562,179
41662,180
41762,180
41862,179
41962,179
42062,181
42162,179
42262,180
42362,180
42462,180
42562,187
42662,197
42762,206
42862,215
42962,224
43062,234
43162,242
43262,252
43362,260
43462,269
43562,277
43662,286
43762,296
43862,304
43962,313
44062,322
44162,331
44262,340
44362,349
44462,357
44562,367
44662,376
44762,384
44862,394
44962,403
45062,411
45162,422
45262,430
45362,438
45462,447
45562,457
45662,466
45762,475
45862,484
45962,493
46062,502
46162,510
46262,520
46362,529
46462,539
46562,547
46662,556
46762,565
46862,574
46962,582
47062,592
47162,601
47262,608
47362,618
47462,627
47562,636
47662,645
47762,654
47862,662
47962,671
48062,679
48162,687
48262,696
48362,703
48462,712
48562,720
48662,727
48762,735
48862,743
48962,751
49062,758
49162,766
49262,772
49362,780
49462,787
49562,795
49662,801
49762,807
49862,815
49962,821
50062,828
50162,835
50262,843
50362,849
50462,855
50562,861
50662,867
50762,873
50862,878
50962,885
51062,889
51162,895
51262,900
51362,905
51462,910
51562,916
51662,921
51762,926
51862,930
51962,935
52062,940
52162,944
52262,947
52362,952
52462,955
52562,958
52662,963
52762,965
52862,969
52962,973
53062,976
53162,979
53262,982
53362,985
53462,988
53562,990
53662,994
53762,996
53862,998
53962,1000
54062,1002
54162,1004
54262,1005
54362,1007
54462,1010
54562,1011
54662,1014
54762,1015
54862,1016
54962,1017
55062,1019
55162,1021
55262,1021
55362,1022
55462,1023
55562,1023
55662,1023
55762,1023
55862,1023
55962,1023
56062,1023
56162,1023
56262,1023
56362,1023
56462,1023
56562,1023
56662,1023
56762,1023
56862,1023
56962,1023
57062,1023
57162,1023
57262,1023
57362,1023
57462,1023
57562,1023
57662,1023
57762,1023
57862,1023
57962,1023
58062,1023
58162,1023
58262,1023
58362,1023
58462,1023
58562,1023
58662,1023
58762,1023
58862,1023
58962,1023
59062,1023
59162,1023
59262,1023
59362,1023
59462,1023
59562,1023
59662,1023
59762,1023
59862,1023
59962,1023
60062,1023
60162,1023
60262,1023
60362,1023
60462,1023
60562,1023
60662,1023
60762,1023
60862,1023
60962,1023
61062,1023
61162,1023
61262,1023
61362,1023
61462,1023
61562,1023
61662,1023
61762,1023
61862,1023
61962,1023
62062,1023
62162,1023
62262,1023
62362,1023
62462,1023
62562,1023
62662,1023
62762,1023
62862,1023
62962,1023
63062,1023
63162,1023
63262,1023
63362,1023
63462,1023
63562,1023
63662,1023
63762,1023
63862,1023
63962,1023
64062,1023
64162,1023
64262,1023
64362,1023
64462,1023
64562,1023
64662,1023
64762,1023
64862,1023
64962,1023
65062,1023
65162,1023
65262,1023
65362,1023
65462,1023
65562,1023
65662,1023
65762,1023
65862,1023
65962,1023
66062,1023
66162,1023
66262,1023
66362,1023
66462,1023
66562,1023
66662,1023
66762,1023
66862,1023
66962,1023
67062,1023
67162,1023
67262,1023
67362,1023
67462,1023
67562,1023
67662,1023
67762,1023
67862,1023
67962,1023
68062,1023
68162,1023
68262,1023
68362,1023
68462,1023
68562,1023
68662,1023
68762,1023
68862,1023
68962,1023
69062,1023
69162,1023
69262,1023
69362,1023
69462,1023
69562,1023
69662,1023
69762,1023
69862,1023
69962,1023
70062,1023
70162,1023
70262,1023
70362,1023
70462,1023
70562,1023
70662,1023
70762,1023
70862,1023
70962,1023
71062,1023
71162,1023
71262,1023
71362,1023
71462,1023
71562,1023
71662,1023
71762,1023
71862,1023
71962,1023
72062,1023
72162,1023
72262,1023
72362,1023
72462,1023
72562,1023
72662,1023
72762,1023
72862,1023
72962,1023
73062,1023
73162,1023
73262,1023
73362,1023
73462,1023
73562,1023
73662,1023
73762,1023
73862,1023
73962,1022
74062,1023
74162,1022
74262,1022
74362,1023
74462,1023
74562,1023
74662,1023
74762,1023
74862,1022
74962,1023
75062,1023
75162,1022
75262,1022
75362,1023
75462,1023
75562,1022
75662,1023
75762,1023
75862,1023
75962,1023
76062,1023
76162,1022
76262,1022
76362,1023
76462,1022
76562,1022
76662,1022
76762,1022
76862,1022
76962,1022
77062,1022
77162,1022
77262,1022
77362,1021
77462,1022
77562,1022
77662,1022
77762,1021
77862,1022
77962,1022
78062,1021
78162,1021
78262,1021
78362,1022
78462,1022
78562,1023
78662,1022
78762,1021
78862,1021
78962,1022
79062,1021
79162,1021
79262,1021
79362,1021
79462,1021
79562,1021
79662,1021
79762,1021
79862,1020
79962,1021
80062,1020
80162,1022
80262,1020
80362,1021
80462,1021
80562,1022
80662,1020
80762,1021
80862,1020
80962,1021
81062,1021
81162,1021
81262,1021
81362,1021
81462,1021
81562,1022
81662,1021
81762,1022
81862,1021
81962,1020
82062,1021
82162,1021
82262,1021
82362,1022
82462,1020
82562,1021
82662,1020
82762,1021
82862,1022
82962,1021
83062,1021
83162,1020
83262,1020
83362,1020
83462,1020
83562,1020
83662,1020
83762,1020
83862,1021
83962,1020
84062,1020
84162,1019
84262,1020
84362,1020
84462,1020
84562,1020
84662,1020
84762,1020
84862,1020
84962,1019
85062,1020
85162,1021
85262,1019
85362,1019
85462,1019
85562,1020
85662,1019
85762,1020
85862,1020
85962,1020
86062,1019
86162,1020
86262,1020
86362,1019
86462,1020
86562,1020
86662,1019
86762,1020
86862,1019
86962,1020
87062,1019
87162,1020
87262,1020
87362,1019
87462,1019
87562,1019
87662,1019
87762,1019
87862,1019
87962,1019
88062,1019
88162,1019
88262,1019
88362,1020
88462,1019
88562,1020
88662,1018
88762,1019
88862,1018
88962,1018
89062,1019
89162,1018
89262,1019
89362,1019
89462,1020
89562,1018
89662,1018
89762,1018
89862,1018
89962,1019
90062,1020
90162,1019
90262,1019
90362,1018
90462,1019
90562,1019
90662,1019
90762,1018
90862,1019
90962,1019
91062,1019
91162,1019
91262,1018
91362,1019
91462,1018
91562,1019
91662,1020
91762,1019
91862,1020
91962,1019
92062,1019
92162,1020
92262,1019
92362,1019
92462,1018
92562,1018
92662,1019
92762,1018
92862,1019
92962,1018
93062,1018
93162,1019
93262,1017
93362,1018
93462,1018
93562,1018
93662,1018
93762,1017
93862,1019
93962,1018
94062,1018
94162,1019
94262,1018
94362,1019
94462,1018
94562,1018
94662,1018
94762,1018
94862,1018
94962,1019
95062,1019
95162,1018
95262,1018
95362,1017
95462,1018
95562,1018
95662,1018
95762,1018
95862,1018
95962,1018
96062,1018
96162,1018
96262,1018
96362,1018
96462,1019
96562,1018
96662,1018
96762,1017
96862,1018
96962,1018
97062,1018
97162,1018
97262,1018
97362,1018
97462,1017
97562,1018
97662,1018
97762,1017
97862,1017
97962,1018
98062,1017
98162,1017
98262,1017
98362,1017
98462,1018
98562,1018
98662,1018
98762,1018
98862,1017
98962,1018
99062,1018
99162,1017
99262,1019
99362,1017
99462,1018
99562,1018
99662,1018
99762,1017
99862,1017
99962,1017
100062,1017
100162,1018
100262,1018
100362,1017
100462,1018
100562,1017
100662,1018
100762,1018
100862,1018
100962,1018
101062,1018
101162,1019
101262,1018
101362,1017
101462,1018
101562,1018
101662,1018
101762,1017
101862,1018
101962,1018
102062,1017
102162,1017
102262,1017
102362,1019
102462,1017
102562,1017
102662,1017
102762,1017
102862,1017
102962,1018
103062,1017
103162,1018
103262,1016
103362,1017
103462,1017
103562,1017
103662,1017
103762,1017
103862,1017
103962,1017
104062,1016
104162,1018
104262,1017
104362,1017
104462,1017
104562,1017
104662,1017
104762,1018
104862,1017
104962,1016
105062,1018
105162,1018
105262,1017
105362,1018
105462,1017
105562,1017
105662,1017
105762,1016
105862,1017
105962,1016
106062,1017
106162,1018
106262,1016
106362,1017
106462,1017
106562,1017
106662,1016
106762,1017
106862,1017
106962,1018
107062,1017
107162,1016
107262,1017
107362,1018
107462,1017
107562,1016
107662,1017
107762,1016
107862,1017
107962,1016
108062,1017
108162,1016
108262,1017
108362,1016
108462,1017
108562,1017
108662,1016
108762,1017
108862,1016
108962,1017
109062,1016
109162,1017
109262,1016
109362,1017
109462,1016
109562,1016
109662,1017
109762,1016
109862,1016
109962,1018
110062,1017
110162,1017
110262,1016
110362,1017
110462,1016
110562,1016
110662,1016
110762,1018
110862,1016
110962,1017
111062,1017
111162,1017
111262,1017
111362,1017
111462,1017
111562,1016
111662,1016
111762,1016
111862,1016
111962,1017
112062,1016
112162,1016
112262,1016
112362,1017
112462,1016
112562,1017
112662,1016
112762,1016
112862,1016
112962,1017
113062,1017
113162,1016
113262,1017
113362,1017
113462,1016
113562,1016
113662,1017
113762,1016
113862,1017
113962,1016
114062,1016
114162,1017
114262,1017
114362,1017
114462,1016
114562,1017
114662,1017
114762,1016
114862,1017
114962,1017
115062,1016
115162,1016
115262,1016
115362,1017
115462,1015
115562,1016
115662,1016
115762,1017
115862,1016
115962,1016
116062,1018
116162,1016
116262,1016
116362,1017
116462,1016
116562,1016
116662,1016
116762,1017
116862,1016
116962,1017
117062,1017
117162,1016
117262,1016
117362,1017
117462,1015
117562,1016
117662,1016
117762,1016
117862,1017
117962,1016
118062,1016
118162,1017
118262,1016
118362,1017
118462,1016
118562,1016
118662,1015
118762,1017
118862,1017
118962,1016
119062,1016
119162,1017
119262,1016
119362,1017
119462,1016
119562,1017
119662,1016
119762,1017
119862,1017
119962,1017
120062,1017
120162,1016
120262,1016
120362,1016
120462,1016
120562,1016
120662,1016
120762,1017
120862,1015
120962,1016
121062,1016
121162,1016
121262,1016
121362,1016
121462,1016
121562,1016
121662,1017
121762,1016
121862,1016
121962,1017
122062,1016
122162,1016
122262,1016
122362,1016
122462,1017
122562,1016
122662,1018
122762,1015
122862,1016
122962,1016
123062,1016
123162,1016
123262,1015
123362,1016
123462,1017
123562,1016
123662,1016
123762,1016
123862,1016
123962,1015
124062,1016
124162,1015
124262,1016
124362,1016
124462,1016
124562,1016
124662,1016
124762,1016
124862,1016
124962,1016
125062,1016
125162,1015
125262,1016
125362,1016
125462,1016
125562,1016
125662,1016
125762,1016
125862,1015
125962,1016
126062,1015
126162,1015
126262,1016
126362,1016
126462,1017
126562,1015
126662,1017
126762,1016
126862,1016
126962,1016
127062,1017
127162,1016
127262,1016
127362,1016
127462,1016
127562,1015
127662,1016
127762,1016
127862,1016
127962,1015
128062,1016
128162,1015
128262,1015
128362,1015
128462,1016
128562,1016
128662,1016
128762,1016
128862,1016
128962,1015
129062,1016
129162,1015
129262,1015
129362,1016
129462,1014
129562,1015
129662,1017
129762,1016
129862,1016
129962,1016
130062,1016
130162,1016
130262,1015
130362,1016
130462,1015
130562,1016
130662,1015
130762,1016
130862,1015
130962,1016
131062,1016
131162,1015
131262,1016
131362,1016
131462,1016
131562,1015
131662,1016
131762,1016
131862,1016
131962,1015
132062,1016
132162,1016
132262,1015
132362,1015
132462,1015
132562,1016
132662,1017
132762,1016
132862,1016
132962,1016
133062,1016
133162,1015
133262,1016
133362,1016
133462,1015
133562,1015
133662,1015
133762,1016
133862,1016
133962,1015
134062,1015
134162,1016
134262,1015
134362,1017
134462,1016
134562,1017
134662,1015
134762,1016
134862,1016
134962,1015
135062,1015
135162,1016
135262,1015
135362,1016
135462,1015
135562,1016
135662,1016
135762,1015
135862,1016
135962,1016
136062,1016
136162,1016
136262,1016
136362,1015
136462,1016
136562,1015
136662,1016
136762,1015
136862,1016
136962,1015
137062,1016
137162,1016
137262,1017
137362,1016
137462,1016
137562,1016
137662,1016
137762,1016
137862,1017
137962,1017
138062,1016
138162,1016
138262,1015
138362,1016
138462,1016
138562,1016
138662,1016
138762,1016
138862,1015
138962,1015
139062,1014
139162,1015
139262,1015
139362,1015
139462,1016
139562,1015
139662,1016
139762,1016
139862,1016
139962,1014
140062,1015
140162,1016
140262,1016
140362,1016
140462,1016
140562,1016
140662,1016
140762,1016
140862,1015
140962,1015
141062,1016
141162,1014
141262,1015
141362,1015
141462,1015
141562,1016
141662,1016
141762,1016
141862,1015
141962,1016
142062,1016
142162,1014
142262,1016
142362,1016
142462,1015
142562,1015
142662,1015
142762,1015
142862,1015
142962,1015
143062,1015
143162,1015
143262,1015
143362,1015
143462,1015
143562,1015
143662,1016
143762,1015
143862,1017
143962,1015
144062,1015
144162,1016
144262,1015
144362,1016
144462,1016
144562,1016
144662,1015
144762,1015
144862,1015
144962,1016
145062,1015
145162,1016
145262,1015
145362,1015
145462,1015
145562,1015
145662,1014
145762,1015
145862,1015
145962,1016
146062,1015
146162,1016
146262,1015
146362,1016
146462,1016
146562,1016
146662,1015
146762,1015
146862,1014
146962,1015
147062,1015
147162,1015
147262,1015
147362,1016
147462,1016
147562,1015
147662,1016
147762,1015
147862,1015
147962,1016
148062,1014
148162,1015
148262,1015
148362,1015
148462,1015
148562,1015
148662,1015
148762,1015
148862,1016
148962,1015
149062,1015
149162,1015
149262,1016
149362,1015
149462,1015
149562,1016
149662,1016
149762,1014
149862,1015
149962,1016
150062,1015
150162,1016
150262,1015
150362,1014
150462,1015
150562,1016
150662,1014
150762,1014
150862,1016
150962,1015
151062,1015
151162,1015
151262,1016
151362,1015
151462,1015
151562,1015
151662,1015
151762,1015
151862,1015
151962,1015
152062,1015
152162,1016
152262,1016
152362,1016
152462,1015
152562,1015
152662,1014
152762,1016
152862,1016
152962,1015
153062,1015
153162,1014
153262,1015
153362,1015
153462,1015
153562,1015
153662,1016
153762,1015
153862,1015
153962,1015
154062,1015
154162,1015
154262,1015
154362,1016
154462,1015
154562,1015
154662,1014
154762,1015
154862,1015
154962,1014
155062,1015
155162,1015
155262,1015
155362,1015
155462,1015
155562,1014
155662,1014
155762,1015
155862,1016
155962,1015
156062,1015
156162,1015
156262,1015
156362,1016
156462,1016
156562,1015
156662,1014
156762,1015
156862,1016
156962,1015
157062,1015
157162,1015
157262,1014
157362,1016
157462,1014
157562,1015
157662,1014
157762,1015
157862,1016
157962,1016
158062,1016
158162,1016
158262,1015
158362,1015
158462,1015
158562,1014
158662,1015
158762,1015
158862,1016
158962,1015
159062,1015
159162,1015
159262,1015
159362,1015
159462,1015
159562,1016
159662,1016
159762,1014
159862,1015
159962,1014
160062,1015
160162,1016
160262,1015
160362,1014
160462,1015
160562,1015
160662,1016
160762,1015
160862,1015
160962,1016
161062,1015
161162,1014
161262,1015
161362,1015
161462,1015
161562,1015
161662,1014
161762,1014
161862,1015
161962,1015
162062,1014
162162,1015
162262,1015
162362,1015
162462,1015
162562,1015
162662,1015
162762,1015
162862,1014
162962,1015
163062,1015
163162,1014
163262,1015
163362,1015
163462,1015
163562,1015
163662,1016
163762,1015
163862,1015
163962,1016
164062,1015
164162,1015
164262,1015
164362,1015
164462,1016
164562,1015
164662,1016
164762,1015
164862,1014
164962,1016
165062,1014
165162,1013
165262,1014
165362,1014
165462,1015
165562,1014
165662,1015
165762,1015
165862,1015
165962,1016
166062,1015
166162,1015
166262,1015
166362,1015
166462,1015
166562,1015
166662,1015
166762,1015
166862,1016
166962,1015
167062,1015
167162,1016
167262,1014
167362,1014
167462,1015
167562,1015
167662,1015
167762,1015
167862,1015
167962,1015
168062,1016
168162,1014
168262,1015
168362,1015
168462,1015
168562,1015
168662,1015
168762,1015
168862,1015
168962,1015
169062,1015
169162,1014
169262,1015
169362,1014
169462,1015
169562,1014
169662,1015
169762,1015
169862,1015
169962,1015
170062,1014
170162,1015
170262,1015
170362,1015
170462,1015
170562,1015
170662,1015
170762,1015
170862,1015
170962,1015
171062,1015
171162,1016
171262,1016
171362,1014
171462,1015
171562,1016
171662,1014
171762,1014
171862,1015
171962,1014
172062,1015
172162,1015
172262,1015
172362,1014
172462,1014
172562,1015
172662,1014
172762,1014
172862,1013
172962,1015
173062,1014
173162,1015
173262,1015
173362,1014
173462,1014
173562,1015
173662,1015
173762,1014
173862,1014
173962,1014
174062,1014
174162,1014
174262,1014
174362,1015
174462,1014
174562,1014
174662,1013
174762,1014
174862,1015
174962,1015
175062,1014
175162,1014
175262,1013
175362,1014
175462,1014
175562,1015
175662,1014
175762,1014
175862,1015
175962,1015
176062,1014
176162,1014
176262,1014
176362,1014
176462,1014
176562,1014
176662,1014
176762,1015
176862,1014
176962,1014
177062,1015
177162,1014
177262,1014
177362,1015
177462,1014
177562,1015
177662,1014
177762,1014
177862,1013
177962,1015
178062,1015
178162,1014
178262,1015
178362,1014
178462,1014
178562,1014
178662,1015
178762,1014
178862,1014
178962,1013
179062,1015
179162,1015
179262,1014
179362,1015
179462,1015
179562,1015
179662,1015
179762,1014
179862,1015
179962,1015
180062,1015
180162,1015
180262,1014
180362,1014
180462,1015
180562,1015
180662,1015
180762,1014
180862,1015
180962,1014
181062,1014
181162,1014
181262,1014
181362,1016
181462,1014
181562,1014
181662,1014
181762,1014
181862,1014
181962,1014
182062,1014
182162,1015
182262,1015
182362,1013
182462,1015
182562,1014
182662,1014
182762,1014
182862,1014
182962,1014
183062,1014
183162,1014
183262,1014
183362,1015
183462,1013
183562,1014
183662,1014
183762,1014
183862,1014
183962,1013
184062,1014
184162,1014
184262,1013
184362,1015
184462,1013
184562,1014
184662,1014
184762,1014
184862,1014
184962,1014
185062,1014
185162,1014
185262,1014
185362,1013
185462,1014
185562,1014
185662,1014
185762,1014
185862,1014
185962,1014
186062,1014
186162,1015
186262,1014
186362,1013
186462,1014
186562,1014
186662,1014
186762,1013
186862,1014
186962,1014
187062,1014
187162,1014
187262,1014
187362,1015
187462,1014
187562,1014
187662,1014
187762,1014
187862,1014
187962,1014
188062,1014
188162,1015
188262,1014
188362,1014
188462,1015
188562,1014
188662,1014
188762,1015
188862,1015
188962,1013
189062,1014
189162,1015
189262,1014
189362,1014
189462,1014
189562,1015
189662,1014
189762,1014
189862,1015
189962,1015
190062,1015
190162,1014
190262,1013
190362,1014
190462,1014
190562,1014
190662,1015
190762,1014
190862,1015
190962,1014
191062,1014
191162,1014
191262,1014
191362,1014
191462,1014
191562,1015
191662,1014
191762,1014
191862,1014
191962,1014
192062,1014
192162,1014
192262,1014
192362,1014
192462,1014
192562,1014
192662,1014
192762,1014
192862,1014
192962,1014
193062,1014
193162,1015
193262,1014
193362,1015
193462,1014
193562,1014
193662,1014
193762,1014
193862,1014
193962,1014
194062,1015
194162,1015
194262,1014
194362,1014
194462,1015
194562,1015
194662,1015
194762,1015
194862,1015
194962,1014
195062,1014
195162,1014
195262,1014
195362,1015
195462,1015
195562,1014
195662,1013
195762,1014
195862,1015
195962,1013
196062,1013
196162,1014
196262,1014
196362,1014
196462,1015
196562,1013
196662,1014
196762,1014
196862,1015
196962,1014
197062,1014
197162,1014
197262,1014
197362,1014
197462,1014
197562,1014
197662,1014
197762,1015
197862,1015
197962,1014
198062,1014
198162,1014
198262,1014
198362,1014
198462,1015
198562,1014
198662,1014
198762,1013
198862,1014
198962,1014
199062,1014
199162,1014
199262,1014
199362,1014
199462,1014
199562,1014
199662,1014
199762,1014
199862,1013
199962,1014
200062,1014
200162,1015
200262,1014
200362,1013
200462,1013
200562,1014
200662,1013
200762,1014
200862,1013
200962,1014
201062,1014
201162,1013
201262,1014
201362,1013
201462,1014
201562,1015
201662,1014
201762,1014
201862,1014
201962,1014
202062,1014
202162,1014
202262,1014
202362,1014
202462,1014
202562,1015
202662,1015
202762,1014
202862,1013
202962,1013
203062,1013
203162,1014
203262,1013
203362,1013
203462,1015
203562,1014
203662,1014
203762,1015
203862,1015
203962,1013
204062,1014
204162,1014
204262,1014
204362,1015
204462,1014
204562,1013
204662,1014
204762,1013
204862,1014
204962,1013
205062,1014
205162,1013
205262,1014
205362,1014
205462,1014
205562,1015
205662,1014
205762,1014
205862,1015
205962,1014
206062,1014
206162,1014
206262,1014
206362,1014
206462,1014
206562,1014
206662,1014
206762,1014
206862,1015
206962,1014
207062,1013
207162,1014
207262,1014
207362,1014
207462,1014
207562,1014
207662,1014
207762,1015
207862,1015
207962,1013
208062,1015
208162,1013
208262,1013
208362,1014
208462,1013
208562,1014
208662,1015
208762,1014
208862,1014
208962,1014
209062,1014
209162,1014
209262,1014
209362,1013
209462,1013
209562,1014
209662,1014
209762,1014
209862,1014
209962,1015
210062,1015
210162,1014
210262,1013
210362,1013
210462,1013
210562,1014
210662,1014
210762,1014
210862,1014
210962,1013
211062,1014
211162,1013
211262,1013
211362,1013
211462,1014
211562,1013
211662,1014
211762,1014
211862,1014
211962,1014
212062,1014
212162,1013
212262,1014
212362,1014
212462,1014
212562,1014
212662,1013
212762,1013
212862,1014
212962,1015
213062,1014
213162,1014
213262,1014
213362,1014
213462,1013
213562,1013
213662,1014
213762,1014
213862,1014
213962,1014
214062,1014
214162,1014
214262,1014
214362,1014
214462,1015
214562,1014
214662,1013
214762,1014
214862,1014
214962,1014
215062,1014
215162,1015
215262,1014
215362,1013
215462,1015
215562,1014
215662,1013
215762,1015
215862,1014
215962,1014
216062,1014
216162,1014
216262,1014
216362,1015
216462,1014
216562,1014
216662,1013
216762,1014
216862,1015
216962,1013
217062,1014
217162,1015
217262,1014
217362,1014
217462,1014
217562,1014
217662,1014
217762,1013
217862,1014
217962,1014
218062,1013
218162,1013
218262,1014
218362,1014
218462,1014
218562,1013
218662,1014
218762,1014
218862,1014
218962,1014
219062,1015
219162,1013
219262,1014
219362,1013
219462,1014
219562,1014
219662,1013
219762,1014
219862,1013
219962,1014
220062,1014
220162,1015
220262,1014
220362,1014
220462,1014
220562,1014
220662,1013
220762,1014
220862,1013
220962,1013
221062,1014
221162,1014
221262,1013
221362,1013
221462,1014
221562,1014
221662,1013
221762,1014
221862,1013
221962,1014
222062,1015
222162,1015
222262,1013
222362,1013
222462,1014
222562,1014
222662,1014
222762,1014
222862,1013
222962,1014
223062,1013
223162,1013
223262,1014
223362,1014
223462,1014
