time_ms,value
2162,18
2262,18
2362,18
2462,18
2562,18
2662,179
2762,18
2862,18
2962,18
3062,18
3162,18
3262,18
3362,18
3462,18
3562,179
3662,18
3762,18
3862,18
3962,18
4062,18
4162,18
4262,179
4362,18
4462,179
4562,18
4662,18
4762,18
4862,18
4962,179
5062,18
5162,18
5262,18
5362,18
5462,18
5562,18
5662,18
5762,18
5862,18
5962,18
6062,18
6162,18
6262,18
6362,18
6462,18
6562,18
6662,179
6762,179
6862,18
6962,18
7062,18
7162,18
7262,179
7362,18
7462,18
7562,179
7662,18
7762,18
7862,18
7962,18
8062,18
8162,18
8262,179
8362,18
8462,179
8562,18
8662,18
8762,18
8862,179
8962,18
9062,179
9162,18
9262,179
9362,18
9462,18
9562,18
9662,18
9762,18
9862,18
9962,179
10062,18
10162,18
10262,18
10362,18
10462,179
10562,18
10662,179
10762,18
10862,18
10962,179
11062,18
11162,18
11262,179
11362,18
11462,18
11562,18
11662,18
11762,18
11862,18
11962,18
12062,18
12162,18
12262,18
12362,179
12462,18
12562,18
12662,18
12762,179
12862,179
12962,18
13062,179
13162,179
13262,18
13362,18
13462,18
13562,18
13662,18
13762,18
13862,179
13962,179
14062,18
14162,179
14262,18
14362,179
14462,18
14562,18
14662,179
14762,18
14862,18
14962,179
15062,18
15162,179
15262,18
15362,179
15462,179
15562,18
15662,179
15762,18
15862,18
15962,18
16062,18
16162,179
16262,179
16362,18
16462,18
16562,18
16662,18
16762,18
16862,18
16962,179
17062,179
17162,179
17262,18
17362,18
17462,18
17562,18
17662,181
17762,179
17862,18
17962,18
18062,18
18162,18
18262,18
18362,18
18462,18
18562,18
18662,181
18762,18
18862,18
18962,179
19062,18
19162,18
19262,179
19362,18
19462,18
19562,179
19662,18
19762,18
19862,18
19962,18
20062,18
20162,18
20262,18
20362,18
20462,18
20562,18
20662,18
20762,179
20862,179
20962,179
21062,179
21162,18
21262,18
21362,18
21462,18
21562,18
21662,179
21762,18
21862,179
21962,18
22062,18
22162,18
22262,18
22362,18
22462,18
22562,18
22662,179
22762,179
22862,18
22962,18
23062,18
23162,18
23262,18
23362,18
23462,18
23562,181
23662,18
23762,18
23862,179
23962,18
24062,18
24162,18
24262,18
24362,18
24462,18
24562,179
24662,18
24762,18
24862,18
24962,179
25062,18
25162,18
25262,18
25362,18
25462,18
25562,18
25662,18
25762,18
25862,179
25962,18
26062,179
26162,179
26262,179
26362,18
26462,18
26562,18
26662,18
26762,18
26862,18
26962,18
27062,18
27162,18
27262,18
27362,181
27462,18
27562,179
27662,18
27762,179
27862,18
27962,18
28062,18
28162,179
28262,179
28362,18
28462,179
28562,18
28662,18
28762,18
28862,18
28962,18
29062,18
29162,18
29262,18
29362,179
29462,18
29562,18
29662,179
29762,18
29862,18
29962,18
30062,18
30162,179
30262,18
30362,181
30462,18
30562,18
30662,18
30762,18
30862,18
30962,18
31062,18
31162,18
31262,18
31362,18
31462,18
31562,179
31662,18
31762,18
31862,179
31962,18
32062,18
32162,181
32262,18
32362,18
32462,18
32562,18
32662,18
32762,18
32862,179
32962,18
33062,179
33162,18
33262,179
33362,179
33462,18
33562,179
33662,18
33762,179
33862,179
33962,18
34062,18
34162,18
34262,18
34362,18
34462,18
34562,18
34662,18
34762,18
34862,179
34962,18
35062,18
35162,18
35262,181
35362,18
35462,18
35562,18
35662,179
35762,18
35862,18
35962,18
36062,18
36162,18
36262,18
36362,18
36462,18
36562,18
36662,18
36762,18
36862,179
36962,18
37062,181
37162,18
37262,18
37362,18
37462,18
37562,179
37662,18
37762,179
37862,18
37962,18
38062,18
38162,18
38262,179
38362,179
38462,18
38562,18
38662,18
38762,18
38862,18
38962,179
39062,179
39162,18
39262,18
39362,18
39462,18
39562,18
39662,18
39762,18
39862,18
39962,179
40062,18
40162,18
40262,179
40362,179
40462,18
40562,179
40662,18
40762,18
40862,18
40962,18
41062,18
41162,18
41262,18
41362,18
41462,18
41562,179
41662,18
41762,18
41862,179
41962,179
42062,181
42162,179
42262,18
42362,18
42462,18
42562,187
42662,197
42762,206
42862,215
42962,224
43062,234
43162,242
43262,252
43362,26
43462,269
43562,277
43662,286
43762,296
43862,304
43962,313
44062,322
44162,331
44262,34
44362,349
44462,357
44562,367
44662,376
44762,384
44862,394
44962,403
45062,411
45162,422
45262,43
45362,438
45462,447
45562,457
45662,466
45762,475
45862,484
45962,493
46062,502
46162,51
46262,52
46362,529
46462,539
46562,547
46662,556
46762,565
46862,574
46962,582
47062,592
47162,601
47262,608
47362,618
47462,627
47562,636
47662,645
47762,654
47862,662
47962,671
48062,679
48162,687
48262,696
48362,703
48462,712
48562,72
48662,727
48762,735
48862,743
48962,751
49062,758
49162,766
49262,772
49362,78
49462,787
49562,795
49662,801
49762,807
49862,815
49962,821
50062,828
50162,835
50262,843
50362,849
50462,855
50562,861
50662,867
50762,873
50862,878
50962,885
51062,889
51162,895
51262,9
51362,905
51462,91
51562,916
51662,921
51762,926
51862,93
51962,935
52062,94
52162,944
52262,947
52362,952
52462,955
52562,958
52662,963
52762,965
52862,969
52962,973
53062,976
53162,979
53262,982
53362,985
53462,988
53562,99
53662,994
53762,996
53862,998
53962,1
54062,1002
54162,1004
54262,1005
54362,1007
54462,101
54562,1011
54662,1014
54762,1015
54862,1016
54962,1017
55062,1019
55162,1021
55262,1021
55362,1022
55462,1023
55562,1023
55662,1023
55762,1023
55862,1023
55962,1023
56062,1023
56162,1023
56262,1023
56362,1023
56462,1023
56562,1023
56662,1023
56762,1023
56862,1023
56962,1023
57062,1023
57162,1023
57262,1023
57362,1023
57462,1023
57562,1023
57662,1023
57762,1023
57862,1023
57962,1023
58062,1023
58162,1023
58262,1023
58362,1023
58462,1023
58562,1023
58662,1023
58762,1023
58862,1023
58962,1023
59062,1023
59162,1023
59262,1023
59362,1023
59462,1023
59562,1023
59662,1023
59762,1023
59862,1023
59962,1023
60062,1023
60162,1023
60262,1023
60362,1023
60462,1023
60562,1023
60662,1023
60762,1023
60862,1023
60962,1023
61062,1023
61162,1023
61262,1023
61362,1023
61462,1023
61562,1023
61662,1023
61762,1023
61862,1023
61962,1023
62062,1023
62162,1023
62262,1023
62362,1023
62462,1023
62562,1023
62662,1023
62762,1023
62862,1023
62962,1023
63062,1023
63162,1023
63262,1023
63362,1023
63462,1023
63562,1023
63662,1023
63762,1023
63862,1023
63962,1023
64062,1023
64162,1023
64262,1023
64362,1023
64462,1023
64562,1023
64662,1023
64762,1023
64862,1023
64962,1023
65062,1023
65162,1023
65262,1023
65362,1023
65462,1023
65562,1023
65662,1023
65762,1023
65862,1023
65962,1023
66062,1023
66162,1023
66262,1023
66362,1023
66462,1023
66562,1023
66662,1023
66762,1023
66862,1023
66962,1023
67062,1023
67162,1023
67262,1023
67362,1023
67462,1023
67562,1023
67662,1023
67762,1023
67862,1023
67962,1023
68062,1023
68162,1023
68262,1023
68362,1023
68462,1023
68562,1023
68662,1023
68762,1023
68862,1023
68962,1023
69062,1023
69162,1023
69262,1023
69362,1023
69462,1023
69562,1023
69662,1023
69762,1023
69862,1023
69962,1023
70062,1023
70162,1023
70262,1023
70362,1023
70462,1023
70562,1023
70662,1023
70762,1023
70862,1023
70962,1023
71062,1023
71162,1023
71262,1023
71362,1023
71462,1023
71562,1023
71662,1023
71762,1023
71862,1023
71962,1023
72062,1023
72162,1023
72262,1023
72362,1023
72462,1023
72562,1023
72662,1023
72762,1023
72862,1023
72962,1023
73062,1023
73162,1023
73262,1023
73362,1023
73462,1023
73562,1023
73662,1023
73762,1023
73862,1023
73962,1022
74062,1023
74162,1022
74262,1022
74362,1023
74462,1023
74562,1023
74662,1023
74762,1023
74862,1022
74962,1023
75062,1023
75162,1022
75262,1022
75362,1023
75462,1023
75562,1022
75662,1023
75762,1023
75862,1023
75962,1023
76062,1023
76162,1022
76262,1022
76362,1023
76462,1022
76562,1022
76662,1022
76762,1022
76862,1022
76962,1022
77062,1022
77162,1022
77262,1022
77362,1021
77462,1022
77562,1022
77662,1022
77762,1021
77862,1022
77962,1022
78062,1021
78162,1021
78262,1021
78362,1022
78462,1022
78562,1023
78662,1022
78762,1021
78862,1021
78962,1022
79062,1021
79162,1021
79262,1021
79362,1021
79462,1021
79562,1021
79662,1021
79762,1021
79862,102
79962,1021
80062,102
80162,1022
80262,102
80362,1021
80462,1021
80562,1022
80662,102
80762,1021
80862,102
80962,1021
81062,1021
81162,1021
81262,1021
81362,1021
81462,1021
81562,1022
81662,1021
81762,1022
81862,1021
81962,102
82062,1021
82162,1021
82262,1021
82362,1022
82462,102
82562,1021
82662,102
82762,1021
82862,1022
82962,1021
83062,1021
83162,102
83262,102
83362,102
83462,102
83562,102
83662,102
83762,102
83862,1021
83962,102
84062,102
84162,1019
84262,102
84362,102
84462,102
84562,102
84662,102
84762,102
84862,102
84962,1019
85062,102
85162,1021
85262,1019
85362,1019
85462,1019
85562,102
85662,1019
85762,102
85862,102
85962,102
86062,1019
86162,102
86262,102
86362,1019
86462,102
86562,102
86662,1019
86762,102
86862,1019
86962,102
87062,1019
87162,102
87262,102
87362,1019
87462,1019
87562,1019
87662,1019
87762,1019
87862,1019
87962,1019
88062,1019
88162,1019
88262,1019
88362,102
88462,1019
88562,102
88662,1018
88762,1019
88862,1018
88962,1018
89062,1019
89162,1018
89262,1019
89362,1019
89462,102
89562,1018
89662,1018
89762,1018
89862,1018
89962,1019
90062,102
90162,1019
90262,1019
90362,1018
90462,1019
90562,1019
90662,1019
90762,1018
90862,1019
90962,1019
91062,1019
91162,1019
91262,1018
91362,1019
91462,1018
91562,1019
91662,102
91762,1019
91862,102
91962,1019
92062,1019
92162,102
92262,1019
92362,1019
92462,1018
92562,1018
92662,1019
92762,1018
92862,1019
92962,1018
93062,1018
93162,1019
93262,1017
93362,1018
93462,1018
93562,1018
93662,1018
93762,1017
